,Station Name,Available Bikes,Empty Slots,Latitude,Longitude
0,W 100 St & Manhattan Ave,5,29,40.795,-73.9645
1,7 Ave & Central Park South,2,76,40.7667405590595,-73.9790689945221
2,Bedford Ave & Bergen St,2,15,40.676368,-73.952918
3,28 St & 41 Ave,12,12,40.751047,-73.93797
4,Frederick Douglass Blvd & W 112 St,14,14,40.801694,-73.957145
5,3 Ave & E 112 St,16,5,40.795508,-73.941606
6,8 Ave & W 31 St,89,7,40.7505853470215,-73.9946848154068
7,Bergen St & Vanderbilt Ave,3,23,40.6794388,-73.9680438
8,Monroe St & Bedford Ave,6,12,40.6851443,-73.95380904
9,35 Ave & 37 St,16,11,40.7557327,-73.9236611
10,Bank St & Hudson St,10,11,40.73652889,-74.00618026
11,Greenwich St & W Houston St,66,14,40.728846,-74.008591
12,Madison St & Clinton St,9,31,40.71269042,-73.98776323
13,Stanton St & Mangin St,13,6,40.71782143,-73.97628939
14,Clinton Ave & Flushing Ave,16,3,40.69794,-73.96986848
15,Rivington St & Ridge St,51,3,40.71850211,-73.98329859
16,E 114 St & 1 Ave,19,5,40.7945663,-73.9362541
17,Columbia St & Lorraine St,36,0,40.6747055,-74.0075572
18,11 Ave & W 41 St,1,51,40.76030096,-73.99884222
19,Riverside Dr & W 104 St,18,31,40.8013434,-73.9711457439
20,Dwight St & Van Dyke St,23,0,40.67363551341504,-74.01195555925369
21,E 97 St & Madison Ave,30,10,40.787801,-73.953559
22,Union St & 4 Ave,22,5,40.6772744,-73.98282002
23,Berkeley Pl & 6 Ave,26,13,40.6765304,-73.97846879
24,Waterbury St & Stagg St,12,10,40.71019,-73.93734
25,3 Ave & Schermerhorn St,14,18,40.68683208,-73.9796772
26,Pike St & E Broadway,23,7,40.71406667,-73.99293911
27,Lafayette St & E 8 St,78,17,40.73020660529954,-73.99102628231049
28,Knickerbocker Ave & Thames St,16,2,40.70539,-73.92976
29,Devoe St & Morgan Ave,18,0,40.713811,-73.93515
30,McKibbin St & Bogart St,30,0,40.706237,-73.933871
31,Central Ave & Flushing Ave,20,1,40.702831,-73.9333
32,Central Ave & Starr Street,5,0,40.700003,-73.92834
33,Knickerbocker Ave & George St,20,0,40.704425,-73.92836
34,Irving Ave & DeKalb Ave,18,9,40.7027,-73.92095
35,Adelphi St & Myrtle Ave,8,15,40.69308257,-73.97178913
36,1 Ave & E 68 St,23,33,40.76500525,-73.95818491
37,1 Ave & E 62 St,5,26,40.7612274,-73.96094022
38,5 Ave & E 78 St,31,2,40.77632142182271,-73.96427392959595
39,Washington Ave & Greene Ave,5,10,40.68650065,-73.96563307
40,Concord St & Bridge St,1,17,40.69766564,-73.98476437
41,Glenwood Ave,3,12,40.72755146730012,-74.07106071710587
42,Jay St & York St,32,4,40.701403172577244,-73.98672670125961
43,E 106 St & Madison Ave,20,5,40.7934337,-73.94945003
44,Smith St & 3 St,13,11,40.6787242,-73.99599099
45,Cathedral Pkwy & Broadway,6,16,40.804213,-73.96699104
46,3 St & Hoyt St,34,16,40.6777287,-73.99364123
47,W 34 St & 11 Ave,46,28,40.75594159,-74.0021163
48,E 33 St & 5 Ave,12,41,40.74765947,-73.98490707
49,E 51 St & Lexington Ave,1,73,40.75714758,-73.97207836
50,2 Ave & E 31 St,7,45,40.74290902,-73.97706058
51,St Johns Pl & Washington Ave,9,19,40.6737236,-73.9631611
52,Underhill Ave & Lincoln Pl,2,21,40.6740123,-73.9671457
53,Lincoln Pl & Classon Ave,0,25,40.6721683,-73.9609
54,Union St & Bedford Ave,1,22,40.6691783,-73.9554162
55,34 Ave & 13 St,18,0,40.7638753,-73.9364848
56,Bedford Ave & S 9 St,8,14,40.70853074,-73.96408963
57,E 45 St & 3 Ave,2,40,40.75255434,-73.97282625
58,E 10 St & Avenue A,14,88,40.72740794,-73.98142006
59,3 Ave & E 71 St,1,40,40.76873687,-73.96119945
